RELEASE_VERSION,MODULE_COUNT,MODULE_NAME
4,16,BMS
5,1,BMS
2,16,Interface
3,42,Interface
4,93,Interface
5,68,Interface
6,54,Interface
7,30,Interface
8,10,Interface
9,9,Interface
10,11,Interface
11,2,Interface
12,4,Interface
13,2,Interface
14,2,Interface
16,2,Interface
17,1,Interface
21,1,Interface
1,2,Process
3,78,Process
4,78,Process
5,51,Process
6,24,Process
7,10,Process
8,11,Process
9,9,Process
10,7,Process
11,2,Process
12,2,Process
14,3,Process
16,1,Process
18,1,Process
19,1,Process
22,2,Process
25,1,Process
5,9,Translation
6,6,Translation
7,1,Translation
